a2ps 4.14-1
lsof 4.84-1
lua 5.1.4-6
luadoc 3.0.1-2
luafilesystem 1.5.0-1
lualogging 1.1.4-2
lvm2 2.02.77-1
lynx 2.8.7-3
m4 1.4.15-1
mailx 8.1.1-7
make 3.81-5
man-db 2.5.9-1
man-pages 3.32-1
mcpp 2.7.2-2
mdadm 3.1.4-1
mesa 7.9-1
mime-types 1.0-3
mkinitcpio 0.6.7-1
mkinitcpio-busybox 1.17.2-1
module-init-tools 3.12-1
mousepad 0.2.16-2
mozilla-common 1.4-1
mpfr 3.0.0.p8-1
mysql 5.1.51-1
mysql-clients 5.1.51-1
nano 2.2.6-1
nautilus 2.32.2-1
ncurses 5.7-4
net-tools 1.60-14
netcfg 2.5.4-1
nodejs 0.2.5-1
nspr 4.8.6-1
nss 3.12.8-1
ntp 4.2.6.p2-1
opencore-amr 0.1.2-1
openjpeg 1.3-3
openssh 5.6p1-1
openssl 1.0.0.c-1
orage 4.6.1-1
orbit2 2.14.19-1
orc 0.4.11-1
pacman 3.4.1-1
pacman-mirrorlist 20100825-1
pam 1.1.1-2
pango 1.28.3-1
parted 2.3-1
patch 2.6.1-2
pciutils 3.1.7-1
pcmciautils 017-1
pcre 8.10-2
perl 5.12.1-3
perl-error 0.17016-1
perl-html-parser 3.66-1
perl-html-tagset 3.20-1
perl-libwww 5.836-1
perl-term-readkey 2.30.01-2
perl-test-pod 1.44-1
perl-uri 1.54-1
perl-xml-parser 2.40-1
perl-xml-simple 2.18-3
perl-yaml-syck 1.15-1
php 5.3.3-4
php-apache 5.3.3-4
pixman 0.20.0-1
pkg-config 0.25-2
pm-quirks 0.20100619-1
pm-utils 1.4.1-1
polkit 0.99-1
popt 1.16-2
ppl 0.11-1
ppp 2.4.5-1
procps 3.2.8-2
psmisc 22.13-1
psutils 1.17-2
pycairo 1.8.10-2
pygobject 2.26.0-2
pygtk 2.22.0-3
pygtksourceview2 2.10.1-3
python 3.1.3-1
python2 2.7.1-2
randrproto 1.3.2-1
rarian 0.8.1-1
readline 6.1.002-2
recordproto 1.14.1-1
reiserfsprogs 3.6.21-2
renderproto 0.11.1-1
ristretto 0.0.22-1
rp-pppoe 3.10-5
rpcbind 0.2.0-2
rrdtool 1.4.4-2
run-parts 3.2.3-1
schroedinger 1.0.9-1
scrnsaverproto 1.2.1-1
sdl 1.2.14-6
sed 4.2.1-3
sg3_utils 1.29-1
shadow 4.1.4.2-3
shared-mime-info 0.80-1
smbclient 3.5.6-1
spidermonkey 1.7.0-3
sqlite3 3.7.4-1
squeeze 0.2.3-3
startup-notification 0.10-1
sudo 1.7.4.p4-1
sysfsutils 2.1.0-5
syslog-ng 3.2.1-1
sysvinit 2.88-2
taglib 1.6.3-1
talloc 2.0.1-1
tango-icon-theme 0.8.90-2
tar 1.25-1
tcp_wrappers 7.6-12
tdb 1.2.1-2
terminal 0.4.5-1
texinfo 4.13a-5
thunar 1.0.2-1
thunar-archive-plugin 0.2.4-6
thunar-media-tags-plugin 0.1.2-6
thunar-thumbnailers 0.4.1-3
thunar-volman 0.3.80-1
tig 0.16.2-1
tilda 0.9.6-3
tre 0.8.0-1
ttf-dejavu 2.32-2
tzdata 2010o-1
udev 164-3
udisks 1.0.2-1
unixodbc 2.3.0-1
usbutils 0.91-4
